candidate_id,silver_score
CAND_0000001,4
CAND_0000002,1
CAND_0000003,1
CAND_0000004,3
CAND_0000005,3
CAND_0000006,2
CAND_0000007,2
CAND_0000008,2
CAND_0000009,1
CAND_0000010,4
CAND_0000011,2
CAND_0000012,1
CAND_0000013,1
CAND_0000014,3
CAND_0000015,3
CAND_0000016,2
CAND_0000017,1
CAND_0000018,3
CAND_0000019,2
CAND_0000020,3
CAND_0000021,1
CAND_0000022,1
CAND_0000023,2
CAND_0000024,2
CAND_0000025,3
CAND_0000026,3
CAND_0000027,3
CAND_0000028,1
CAND_0000029,2
CAND_0000030,2
CAND_0000031,3
CAND_0000032,3
CAND_0000033,3
CAND_0000034,1
CAND_0000035,3
CAND_0000036,1
CAND_0000037,1
CAND_0000038,3
CAND_0000039,3
CAND_0000040,1
CAND_0000041,1
CAND_0000042,2
CAND_0000043,3
CAND_0000044,3
CAND_0000045,1
CAND_0000046,2
CAND_0000047,2
CAND_0000048,2
CAND_0000049,2
CAND_0000050,1
CAND_0000051,2
CAND_0000052,1
CAND_0000053,3
CAND_0000054,3
CAND_0000055,3
CAND_0000056,1
CAND_0000057,2
CAND_0000058,3
CAND_0000059,1
CAND_0000060,3
CAND_0000061,3
CAND_0000062,1
CAND_0000063,2
CAND_0000064,2
CAND_0000065,3
CAND_0000066,2
CAND_0000067,3
CAND_0000068,1
CAND_0000069,1
CAND_0000070,2
CAND_0000071,1
CAND_0000072,3
CAND_0000073,1
CAND_0000074,1
CAND_0000075,3
CAND_0000076,2
CAND_0000077,2
CAND_0000078,2
CAND_0000079,1
CAND_0000080,3
CAND_0000081,2
CAND_0000082,1
CAND_0000083,1
CAND_0000084,3
CAND_0000085,1
CAND_0000086,2
CAND_0000087,2
CAND_0000088,3
CAND_0000089,1
CAND_0000090,1
CAND_0000091,3
CAND_0000092,3
CAND_0000093,3
CAND_0000094,1
CAND_0000095,1
CAND_0000096,3
CAND_0000097,3
CAND_0000098,1
CAND_0000099,2
CAND_0000100,1
CAND_0000101,2
CAND_0000102,2
CAND_0000103,1
CAND_0000104,1
CAND_0000105,2
CAND_0000106,2
CAND_0000107,1
CAND_0000108,3
CAND_0000109,1
CAND_0000110,3
CAND_0000111,1
CAND_0000112,3
CAND_0000113,1
CAND_0000114,1
CAND_0000115,2
CAND_0000116,4
CAND_0000117,1
CAND_0000118,2
CAND_0000119,2
CAND_0000120,3
CAND_0000121,3
CAND_0000122,2
CAND_0000123,3
CAND_0000124,3
CAND_0000125,3
CAND_0000126,2
CAND_0000127,3
CAND_0000128,3
CAND_0000129,2
CAND_0000130,3
CAND_0000131,3
CAND_0000132,1
CAND_0000133,1
CAND_0000134,3
CAND_0000135,2
CAND_0000136,3
CAND_0000137,2
CAND_0000138,3
CAND_0000139,3
CAND_0000140,3
CAND_0000141,1
CAND_0000142,3
CAND_0000143,3
CAND_0000144,1
CAND_0000145,2
CAND_0000146,2
CAND_0000147,2
CAND_0000148,1
CAND_0000149,1
CAND_0000150,2
CAND_0000151,2
CAND_0000152,3
CAND_0000153,1
CAND_0000154,2
CAND_0000155,3
CAND_0000156,3
CAND_0000157,3
CAND_0000158,3
CAND_0000159,2
CAND_0000160,3
CAND_0000161,1
CAND_0000162,1
CAND_0000163,1
CAND_0000164,2
CAND_0000165,3
CAND_0000166,3
CAND_0000167,3
CAND_0000168,3
CAND_0000169,1
CAND_0000170,3
CAND_0000171,1
CAND_0000172,2
CAND_0000173,2
CAND_0000174,2
CAND_0000175,1
CAND_0000176,1
CAND_0000177,1
CAND_0000178,2
CAND_0000179,3
CAND_0000180,3
CAND_0000181,2
CAND_0000182,3
CAND_0000183,3
CAND_0000184,3
CAND_0000185,1
CAND_0000186,1
CAND_0000187,2
CAND_0000188,1
CAND_0000189,2
CAND_0000190,3
CAND_0000191,3
CAND_0000192,3
CAND_0000193,3
CAND_0000194,1
CAND_0000195,2
CAND_0000196,3
CAND_0000197,2
CAND_0000198,3
CAND_0000199,3
CAND_0000200,4
CAND_0000201,1
CAND_0000202,1
CAND_0000203,1
CAND_0000204,3
CAND_0000205,3
CAND_0000206,3
CAND_0000207,2
CAND_0000208,3
CAND_0000209,2
CAND_0000210,4
CAND_0000211,3
CAND_0000212,1
CAND_0000213,3
CAND_0000214,2
CAND_0000215,2
CAND_0000216,2
CAND_0000217,3
CAND_0000218,3
CAND_0000219,1
CAND_0000220,3
CAND_0000221,1
CAND_0000222,1
CAND_0000223,2
CAND_0000224,3
CAND_0000225,2
CAND_0000226,3
CAND_0000227,3
CAND_0000228,3
CAND_0000229,2
CAND_0000230,1
CAND_0000231,2
CAND_0000232,3
CAND_0000233,1
CAND_0000234,1
CAND_0000235,3
CAND_0000236,2
CAND_0000237,1
CAND_0000238,3
CAND_0000239,2
CAND_0000240,1
CAND_0000241,2
CAND_0000242,3
CAND_0000243,3
CAND_0000244,1
CAND_0000245,1
CAND_0000246,2
CAND_0000247,1
CAND_0000248,3
CAND_0000249,3
CAND_0000250,3
CAND_0000251,2
CAND_0000252,3
CAND_0000253,2
CAND_0000254,2
CAND_0000255,3
CAND_0000256,2
CAND_0000257,1
CAND_0000258,2
CAND_0000259,3
CAND_0000260,3
CAND_0000261,1
CAND_0000262,3
CAND_0000263,3
CAND_0000264,2
CAND_0000265,3
CAND_0000266,2
CAND_0000267,2
CAND_0000268,1
CAND_0000269,1
CAND_0000270,1
CAND_0000271,3
CAND_0000272,1
CAND_0000273,4
CAND_0000274,1
CAND_0000275,3
CAND_0000276,1
CAND_0000277,1
CAND_0000278,1
CAND_0000279,2
CAND_0000280,3
CAND_0000281,1
CAND_0000282,1
CAND_0000283,1
CAND_0000284,2
CAND_0000285,3
CAND_0000286,3
CAND_0000287,2
CAND_0000288,2
CAND_0000289,1
CAND_0000290,1
CAND_0000291,1
CAND_0000292,1
CAND_0000293,2
