candidate_id,score,rationale,labeled_at,labeler
CAND_0000031,3,score_3: yoe=6.0; score_3: 6 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0001610,3,score_3: yoe=3.0; score_3: 8 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0001930,4,score_4: adjacent_title='senior software engineer (ml)' yoe=6.9; score_4: 3 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0002025,4,score_4: adjacent_title='senior ai engineer' yoe=5.9; score_4: 11 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0004402,4,score_4: adjacent_title='ai research engineer' yoe=6.0; score_4: 4 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0005260,3,score_3: yoe=5.2; score_3: 9 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0005509,4,score_4: adjacent_title='data scientist' yoe=6.0; score_4: 3 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0005538,4,score_4: adjacent_title='senior ai engineer' yoe=5.9; score_4: 6 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0005649,4,score_4: adjacent_title='senior data scientist' yoe=7.4; score_4: 8 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0006418,4,score_4: adjacent_title='machine learning engineer' yoe=5.7; score_4: 6 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0006557,3,score_3: yoe=7.9; score_3: 8 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0006567,4,score_4: adjacent_title='senior ai engineer' yoe=7.9; score_4: 5 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0007411,5,score_5: ml_title='senior machine learning engineer' yoe=8.0; score_5: 3 strict ML skills >= 3 months; score_5: career mentions ranking/retrieval/LLM system; score_5: interview_completion_rate >= 0.6,2026-07-02T19:52:26,auto-rubric
CAND_0008239,4,score_4: adjacent_title='ai engineer' yoe=4.0; score_4: 10 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0008425,3,score_3: yoe=7.8; score_3: 11 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0009024,3,score_3: yoe=5.2; score_3: 7 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0009837,4,score_4: adjacent_title='senior data scientist' yoe=4.3; score_4: 9 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0010257,4,score_4: adjacent_title='senior data scientist' yoe=6.5; score_4: 7 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0010655,4,score_4: adjacent_title='ml engineer' yoe=5.8; score_4: 3 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0010685,3,score_3: yoe=6.7; score_3: 9 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0011162,3,score_3: yoe=5.8; score_3: 8 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0011432,4,score_4: adjacent_title='senior data scientist' yoe=7.6; score_4: 6 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0011687,3,score_3: yoe=7.8; score_3: 7 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0013613,4,score_4: adjacent_title='machine learning engineer' yoe=4.7; score_4: 5 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0015528,4,score_4: adjacent_title='applied ml engineer' yoe=7.4; score_4: 7 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0018499,4,score_4: adjacent_title='senior machine learning engineer' yoe=7.2; score_4: 9 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0018549,3,score_3: yoe=6.8; score_3: 8 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0018722,3,score_3: yoe=6.6; score_3: 5 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0020877,4,score_4: adjacent_title='applied ml engineer' yoe=5.1; score_4: 8 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0024147,4,score_4: adjacent_title='ml engineer' yoe=5.9; score_4: 2 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0024466,3,score_3: yoe=5.2; score_3: 9 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0024620,4,score_4: adjacent_title='ai engineer' yoe=5.9; score_4: 8 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0026532,3,score_3: yoe=4.8; score_3: 5 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0028793,3,score_3: yoe=7.2; score_3: 6 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0029367,4,score_4: adjacent_title='senior data scientist' yoe=5.7; score_4: 11 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0030031,4,score_4: adjacent_title='ai engineer' yoe=5.7; score_4: 9 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0030348,4,score_4: adjacent_title='machine learning engineer' yoe=4.5; score_4: 7 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0030468,4,score_4: adjacent_title='senior applied scientist' yoe=5.4; score_4: 5 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0030827,4,score_4: adjacent_title='senior data scientist' yoe=5.4; score_4: 7 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0030953,3,score_3: yoe=7.8; score_3: 6 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0032515,4,score_4: adjacent_title='machine learning engineer' yoe=5.1; score_4: 9 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0033861,3,score_3: yoe=8.0; score_3: 13 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0033911,3,score_3: yoe=6.9; score_3: 2 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0036437,3,score_3: yoe=4.8; score_3: 4 broad skill(s) at intermediate+; score_3: career includes software/data engineering; score_3: India-based or willing to relocate,2026-07-02T19:52:26,auto-rubric
CAND_0037566,4,score_4: adjacent_title='machine learning engineer' yoe=6.9; score_4: 10 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0037980,4,score_4: adjacent_title='senior applied scientist' yoe=9.0; score_4: 8 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
CAND_0039383,4,score_4: adjacent_title='applied ml engineer' yoe=7.1; score_4: 7 broad ML/systems skills >= 2; score_4: career shows production-scale data/ML systems; score_4: completeness >= 50,2026-07-02T19:52:26,auto-rubric
